age,description,review,is_recommended,rating_star,review_date,usage_period,purchase_point
19 - 24,"Combination, Medium, Neutral","sunscreen pilihan awal ketika jadi beginner inii. dulu belum banyak merk sunscreen kaya sekarang. Pemakaian sekitar tahun 2018-2020 an deh yaaa, karna menyesuaikan budget mahasiswa. dan pas harga nya yaa. tapii untuk awalan sunscreen ini ternyata bikin kusam buat kulit akuuu, tipe yg light juga sebenernnya, walaupun spf kecil ini lumayan nahan buat ngga bikin belang muka aku waktu ituu. tapi tetep balik lagi cocok cocokan yaaa :)",yes,3,19/03/24, More than 1 year, Shopee
19 - 24,"Normal, Medium, Neutral",Sunscreen yang ada kandungan serumnya cocok banget di kulit normal to dry aku! Lumayan bisa melindungi dari sinar matahari asal rajin re apply tiap 2 jam aja biar hasilnya maksimal. Teksturnya enak juga bikin lembab ke kulit ,yes,5,17/03/24, Less than 1 week, Instagram
19 - 24,"Combination, Medium, Neutral",awalnya aku cuma coba krn viral dan katanya bagus. aku co dan ternyata wlpn cuma 35 spf ini tuh bikin kulit aku ga gosong pdhl abis berenangg terus no white cast kitaa. teksturnya lembut dan mudah di aplikasikan ke kulit wajah 💗💗💗 cinta bgtt mana hatganya kantong mahasiswa bangetttt,yes,5,16/03/24, Less than 1 week, Brand website
19 - 24,"Combination, Dark, Neutral",ini bagus juga sih jujurrrr bikin glowing gitu awal - awal tapi lama kelamaan jadi kaya kusam huaaaa😭😭😭😭😭😭😭 dan juga sukaa perihhh di mataa cuyy jadi bener harus dihindariii daerah deket deket mata karena emang seperih ituu kalo kenaa😭😭😭😭😭😭,No,3,16/03/24, 6 months - 1 year, Shopee
25 - 29,"Combination, Medium, Neutral","Aku type yang pilih2 si untuk coba sunscreen , karena kalau gak cocok di wajah aku bakalan berminyak seharian dan mudah berjerawat juga🥹 aku di rekomend temen aku buat cobain sunscreen nya wardah , dan ternyata aku cocok 😭 gk ada berminyak , gk ada juga wajah berjerawat lagi , pokoknya suka bangett ss ini . Btw aku udh repurchase yg ke 2 🥰🥰🥰",yes,5,15/03/24, Less than 1 week, Shopee
19 - 24,"Combination, Medium Light, Neutral","Cocok untuk Semua Jenis Kulit, Bikin Glowing,  tekstur Ringan membantu mengurangi kulit kusam dari paparan blue light . aku sih nyaman ya pake produk wardah emang sebagus itu ga ragu untuk di cobain dan aku tim yang buru buru stock kalo dah mau abis",yes,5,15/03/24, 3 months - 6 months, Shopee
19 - 24,"Normal, Medium Dark, Warm","sebenernya lumayan bagus, cuman di aku kerasa agak berat dan agak susah di blend, terus lama-lama juga bikin keringetan gitu kaya sunscreen wardah yang dulu, terus gatau kenapa rasanya kalo abis pake ini kaya agak kusem gitu di wajah",No,3,15/03/24, Less than 1 week, Traditional market
19 - 24,"Normal, Medium, Neutral","sunscreen ini kalau yg untuk suka aktivitas diluar enggk banget deh buat kulit belang. waktu aku makek mukak aku jadi oily gtu, pas di apply lama jg meresap nya, aromanya nyaman di hidung gk begitu nyengat aroma nya. harganya ramah dikantong rekomen buat yang pemula dan anak semolah",yes,4,15/03/24, 1 month - 3 months, Indomaret
30 - 34,"Combination, Medium, Warm",formulanya sangat ringan ... cepat menyerap di kulit dan tidak lengker di kulit...jangan lupa sebelum aktivitas keluar rumah gunakan sunscreen 2 garis dan di oleskan ke bagian wajah dan leher secara merata biar kulit kita terlindungi dari sinar matahari,yes,5,14/03/24, 1 month - 3 months, Sample
25 - 29,"Combination, Medium, Neutral","Sangat mudah diaplikasikan,Ringan dikulit jadi cocok untuk yang masih usia remaja, dan cocok di wajah sensitif saya dan tidak membuat jerawat bertumbuh. Rekomen banget buat yang gak suka pake spv yang bikin tebel muka.",yes,5,13/03/24, Less than 1 week, Alfamart
25 - 29,",25 - 29","Baru sampe dan coba 3 harii bener bener bagus bgt dan kemasan kecil gampanh dibawankemana mana, ini aku baru bisa review setelah 7 hari pake, emang bener kata netizen sebagus itu produknya. pokoknya gak nyesel deh pakai sunscreennya wardah",yes,5,13/03/24, 6 months - 1 year, Shopee
19 - 24,"Oily, Medium Light, Neutral","Cocok banget pakai wardah gak bikin whitecase dan cepat menyerap. Cocok untuk kulit berminyak. Produk lokal dengan harga terjangkau, cocok untuk ibu rumah tangga atau remaja. Recomended buat yang mau beli ini",yes,5,13/03/24, 1 week - 1 month, Brand website
19 - 24,"Oily, Medium, Neutral",as oily acne prone also sensitive yang picky sama ingredients mengandung alkohol. ini salah satu ss yg masih bisa adaptasi sama kulit ku sejauh ini (dengan baik) emang kadang kalo lagi banyak jerawat bikin sedikit pwerih/ cekat cekit + kalo ga bersih bgt bersihinnya trigger jerawat ku. tp jarang bgt terjadi. mostly jerawat aku karna hormonal + mam coklat ehehehe. recomended!!,yes,5,11/03/24, 1 month - 3 months, Shopee
25 - 29,"Oily, Medium Light, Neutral","sunscreen wardah ini tekstur nya gel harga 35.000 cocok untuk kulit yang berminyak dan berjerawat cepet meresap juga di wajah untuk awal"" sih buat wajah kaya kusam tapi lama lama buat wajah jadi cerah juga harga gc nguras kantong hasil okkk",yes,4,09/03/24, 1 week - 1 month, FD Try and Review
25 - 29,"Oily, Light, Neutral","muka ku tipe yg sensitif dan jerawat parah. sampai takut pilih2 ss. semenjak pakai produk wardah ini jerawat berkurang, untuk sunscreennya tidak bikin jerawat semakin meradang. terlalu cocok sama wardah ini sampai repurchase berkali kali",yes,5,08/03/24, More than 1 year, Official Brand Store
18 and Under,"Oily, Medium Light, Neutral","menurutku pribadi, ss wardah itu yang paling nyaman dipakai di aku yang notabane nya punya kulit sensitif dan berminyak. karena ga bikin kulit jadi perih dan gatel, tapi emang masih agak kurang nyaman setelah beberapa jam pemakaian karena semakin bikin muka berminyak",yes,4,08/03/24, More than 1 year, Indomaret
25 - 29,"Combination, Medium, Neutral","ringan dan ngga lengket sama sekali, ngga ada efek white case atau tone up juga jadi kusuka. selain melindungi dari sinar UV ada kandungan vitamin c nya juga jadi bisa sekaligus merawat dan memelihara kulit dari 8 penyebab permasalahan kulit.",yes,4,05/03/24, 1 month - 3 months, Official Brand Store
25 - 29,"Dry, Medium Light, Neutral",It's a good product dan di awal menaruh harapnan banyak ke produk ini karena improve dengan formulasi baru. Cuma entah kenapa setiap pemakaian masih kerasa perih dan wanginya strong banget. Finish-nya glowing yang basah gitu.,No,3,04/03/24, 1 week - 1 month, Traditional market
18 and Under,"Combination, Medium Light, Neutral",hai girls jujur ya sunscreen ini tuh bagus kaya dia tuh menurut aku bener bener nahan dari matahari tapi girls kalian harus tau kalo ini tuh ada white cast yang lumayan dan after nya tuh muka kalian kaya glowing banget tapi jujur ini recommend,yes,3,24/02/24, 6 months - 1 year, Alfamart
19 - 24,"Combination, Medium Light, Neutral","Bagus deh sunscreen nya, melindungi wajah dari paparan sinar matahari, lumayan lama untuk di ratakan ke seluruh wajah dan lama menyerap. Tapi ini bagussss banget kok😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍",yes,5,22/02/24, More than 1 year, Lazada
19 - 24,"Combination, Medium Dark, Neutral","teksturnya thick tapi pas di apply dimuka nggak berat, tapi kalo pake 2 ruas jari terlalu berat dimukaku, jadi aku pakenya secukupnya aja, nggak terlalu nahan minyak, kalo udah lewat sejam keluar minyak, pake ini aja sebenernya nggak masalah tapi dilayer skincare lain",yes,4,22/02/24, 1 month - 3 months, Lazada
25 - 29,"Oily, Medium, Neutral","Aku tuh pernah beli produk sunscreen dri wardah ini, setelah pemakaian 2 minggu tuh masyaallah yg awalnya kulit mukaku kan agak dekil hitam* gitu efek matahari , nah stelah kupakai ini sunscreen ,banyak prubahanya .semantul ini sih , jdi gk usah pakai tmbahan skincare lgi klo menurutku , krn ini tuh jg bisa buat muka aku jdi glowing , mkasih wardah 😍",yes,5,22/02/24, Less than 1 week, Indomaret
19 - 24,"Oily, Medium, Neutral","sunscreen nya bagus sih sebenernyaa, worth it dipake buat kegiatan outdoor dan melindungi warna kulit , tapi di aku jdi nya agak oily , dan agak berat gitu di wajah, untuk harga ini worth it dan mudah ditemukan di beauty store dan minimarket",yes,4,21/02/24, 3 months - 6 months, Traditional market
35 - 39,"Dry, Medium Light, Neutral","Sering banget liat review sunscreen ini di timeline dan waktu nyobain lumayan oke apalagi kulit gue cenderung kering. Menurut gue sunscreen wardah ini lumayan melembapkan dan finishnya sedikit basah, ngasi efek healthy glowy skin.. Nampaknya kurang rekomen kalo kalian kulitnya oily, better cobain yg airy smooth aja :) Oya spfnya juga cuma 35, jd gue sendiri prefer pakai ini kalo di rumah aja atau kalo mau ke luar rumah tp ga akan banyak berkegiatan outdoor..",yes,5,16/02/24, 1 week - 1 month, PR Package
30 - 34,"Dry, Medium Light, Neutral","Beli sunscreen ini buat harian aja di rumah. Teksturnya enak creamy, cepet ngeresep, gak bikin muka dekil!!, gak bikin jerawatan/beruntusan jg, gak bikin mata perih jg (tp kalo kucek mata sediikiiit bgt perihnya). Aku rekomendasiin ini buat kalo di rumah!! Kekurangan cepet abis hehhehe tp ini krn aku boros pake sunscreen.",yes,4,15/02/24, 1 month - 3 months, Shopee
25 - 29,"Oily, Medium, Neutral","Untuk produk lokal dengan kandungan sun protection (spf + pa) optimal, menurut gw lumayan lah. Ada arbutin, vitamin b3 dan gluthahione (meskipun tertulis bahan terakhir). Harganya terjangkau. Tidak ada whitecast jadi kayak chemical suncreen gitu, tekstur krim tapi ga thick dan mudah dibaurkan. Cuma baunya kayak minyak jelanta. Saya kurang suka. Habis pake sunscreen ini dan gunakan cushion salsa malah ga nyatu. Jadi patchy gitu. Masih bagusan sunscreen collagen hanasui. Keduanya memiliki formula yg bagus buat kulit kering, tapi buat kulit cenderung berminyak dan mudah jerawat masih pilih hanasui karena ada parfum/aroma ga enak. Sunscreen collagen yg ada hyaluronic acid dan mugwort jadi jerawatku malah ga kayak batu. Paling muncul jerawat pas haid dan cuma kecil-kecil aja. Sayangnya susah kali dapat. Dia mirip skin aqua lotion tapi lebih murah harganya. Setelah beli ini, saya balik lagi pakai hanasui.",yes,4,15/02/24, 1 week - 1 month, Watson
19 - 24,",19 - 24","Udh lama pake sunscren wardah ini krn pake emina ga cocok wkwk. Sunscreny gampang dicari dan murah, tekturnya ga terlalu cair pas dipake ringan, dimukaku yg typenya berminyak pake suncren ini ga makin berminyak ko bagusss malah suka. RECOMENN",yes,5,11/02/24, 6 months - 1 year, Shopee
25 - 29,"Dry, Medium, Neutral",Sejauh ini cocok aja di aku. Walaupun finish nya glowy minyak banget tapi gak yang lengket atau bikin gerah gitu. Awalnya kira bakal ada whitecast ternyata emang kalo sunscreen nya belum meresap jadi terlihat whitecast tapi bukan whitecast kok. Minusnya bikin komedoan.,yes,4,09/02/24, More than 1 year, Alfamart
25 - 29,"Oily, Medium Light, Warm","dikulitku yang berminyak dan berjerawat ini cocok banget, apalagi yang formula baru lebih ke gel, cepat menyerap dan gak lengket dan juga gak bikin berjerawat. udah purchase berkali² dan belinya juga gampang, tersedia di semua minimarket terdekat.",yes,5,09/02/24, More than 1 year, Indomaret
40 - 44,"Oily, Medium, Warm","Aku pakai sudah lebih dari 2 tahun, efeknya lembabnya ada, tapi ada whitecast di kulitku yang oily ini, kadang nampak agak kusam juga kalo abis pake ini tanpa pake bedak, mungkin saatnya beralih ke sunskrin lain, after all efek sunskrinnya bagus kok",yes,4,08/02/24, More than 1 year, Shopee
30 - 34,"Normal, Medium, Warm","Aku pake Wardah Sunscreen ini hampir 10 bulanan. Dapat dari sebuah kegiatan kajian offline di Surabaya. Akhirnya kenal deh dengan Wardah. Sebelumnya aku ga pernah pakai sunscreen. Karena ini produk untuk muslimah, jadinya Aq langsung percaya saja gitu. Terus nyoba pakai 2 bulanan. Alhamdulillah kelihatan. Kulitku yang agak kusam mulai cerah. Dan ga belang lagi antara yang ketutup hijab dengan yang tidak. Lebih kelihatan fresh. Sekarang ga gampang jerawatan kecil-kecil. Cocok banget deh pakai ini. Apalagi kegiatan di depan laptop selama kurang lebih 9 jam-an. Dan di bawah AC. Kalau matahari ya jelas setiap hari kena. Jadi setiap hari harus pakai. Dia ga whitecast. Kadang kalau buru-buru aku ga pakai pelembab, langsung pakai sunscreen ini. Terus pakai bedak tabur. Menurutku sih sudah bagus saja di kulitku. Setelah diaplikasikan diwajah agak sedikit berminyak, terus aku pakai bedak tabur. Sudah oke ajah. Kulitku jadi lembab dan cerah.",yes,4,06/02/24, 6 months - 1 year, Gift
19 - 24,"Dry, Medium, Neutral",tidak whitecast dan ga bikin jerawatan cocok untuk pemula yang masih bingung dan pengen coba buatpake sunscreen. Namun kekurangannya cukup berminyak jika sudah lebih dari 4 jam dan akan sedikit terlihat kusam setelah digunakan agak lama,yes,5,04/02/24, More than 1 year, Guardian
25 - 29,"Normal, Medium Light, Neutral",hai guys buat kalian yg suka keluar siang hari cocok nih sunscreen buat kalian keluar biar kulit terjaga dri paparan sinar matahari terus kalian juga terlindungi dari sinar matahari yg panasnya kalau siang siang panasnya banget sekali....,yes,5,04/02/24, More than 1 year, Shopee
35 - 39,"Combination, Light, Neutral","dapet sunscreen ini dari event offline Wardah di GBK. karena aku sering keluar rumah jadi butuh pelindung muka dari sinar matahari. Wardah UV Shield SPF 35 tekstur ringan, cepet meresap, tanpa whitecast. udah pasti halal dan ada BPOM jadi aman dipakai harganya terjangkau buat mahasiswa atau karyawan.",yes,5,04/02/24, 1 month - 3 months, Gift
45 and Above,"Dry, Light, Cool","Sangat rekomendasi sekali produk sunscreen darii wardah inii, tidak membuatt wajah terkesann berminyak. Berbeda dari produk sunscreen yang lain yang pernah sayaa coba. Wajib coba produkk ini, rekomendasi sekalii. Jangan lupa coba ya",yes,5,04/02/24, More than 1 year, Shopee
25 - 29,"Combination, Light, Cool","enak banget pake sanskrin wardah ini, gak bikin whitecast dan gak perih juga. Terus dipake buat olah raga juga oke, di blend juga gampang dan yang pastinya brandnya halal yaaa. beli ini waktu dapat harga murah. kalian kalian harus coba pakai sanskrin ini yaaa",yes,5,04/02/24, More than 1 year, Female Daily Studio
25 - 29,"Combination, Medium Dark, Neutral",rekomendasi sunscreen ini apa lg awal kali launching langsung beli d e-commerce Alhamdulillah cocok bngt d kulit muka aku terus gk berasa lengket dan ringan juga d kulit muka loh guys apa lg aku tipe kulit muka berminyak bisa pakai loh. rekomendasi deh buat kalian pecinta sunscreen yg gk kelihatan dempul d pakai atau berasa d muka licin rasanya,yes,5,04/02/24, More than 1 year, Shopee
19 - 24,"Oily, Medium, Neutral","Teksturnya enak banget ngga lengket, gampang dibland dan nilai plusnya sunscreen ini ringan bangettt. Dengan harga segitu ini worth it parah, recommend banget sii kalian wajib cobaaa dijajamin ngga bakal nyesel sii. Buat oily skin ini juga aman bangett ngga bikin makin berminyak.",yes,5,04/02/24, Less than 1 week, Shopee
19 - 24,"Normal, Medium, Neutral",wardah uv shield essential s gel spf 35 pa+++ sangat cocok digunakan untuk melindungi lapisan kulit wajah dari paparan sinar uv. tekstur gel dan mudah diblend di wajah. tidak menimbulkan whitecast. sangat nyaman untuk dipke beraktivitas,yes,5,04/02/24, Less than 1 week, FD Flash Sale
19 - 24,"Normal, Medium Dark, Neutral","Aku pakai ini selalu dan tiap hari jujur bgt g buat kulit aku kusam dan berjerawat pdhl aku baru pakai sekali dan udah jalan 3 bulan produknya g hbis hbis pdjl aku pakainya setiap hari, dannnn ini spf 50+++ dan bisa di beli dimana ajaa sooo wort it banget!!",yes,5,04/02/24, Less than 1 week, Shopee
25 - 29,"Normal, Medium Light, Neutral","First time nyoba sunscreen ini. Yang aku suka dia 0% alcohol, karena aku kurang suka sama skincare yang ada kandungan alcoholnya, walaupun itu bad alcohol atau good. Teksturnya gel putih dan cair, mudah di blend juga. Ada whitecast sedikit tapi nanti lama² nyatu sama kulit kita. Wanginya juga soft banget.",yes,5,04/02/24, 1 month - 3 months, Shopee
45 and Above,"Oily, Medium Light, Neutral",rekomend banget buat anak sekolahan yang masih sd kelas 6 sampai smp karna membantu melindungi kulit dari paparan sinar matahari tapi hanya kurang ketika dipakai lama maka wajah agak kusam sehingga harus di aplikasikan secara berkala setia beberapa jam sekali,yes,5,04/02/24, More than 1 year, Indomaret
25 - 29,",25 - 29","Bagus banget buat kulitku yg sensitif, sangat mudah dibleeennd, gaa bikiiin whitecast, secara hargaa jugaa lumaayann okee, gaa terlalu mahall dan cukup ramaahh dikantong, recomended buat temen temen perempuan yang lagii cari produk yang serupa",yes,5,04/02/24, Less than 1 week, Beautyhaulindo
19 - 24,"Dry, Medium Light, Neutral","Cocok sekali sunscreen ini digunain buat cuaca terik kayak gini, aku pakai ini buat sehari hari sangat ringan dan cocok banget buat di timpa diatas makeup. Ga greezy sama sekali jadinya aman dan gak bikin sukuk sama sekali lets go cobain bestii",yes,5,04/02/24, Less than 1 week, Instagram
25 - 29,"Oily, Medium, Neutral","sudah sejak masa sekolah menengah keatas saya pakai produk wardah, karena sangat cocok bagi kulit remaja membuat kulit lebih lembab, cerah dan lembut. sejak itu saya tidak pernah ganti ke produk lain selain wardah karena sudah cocok untuk kulit.",yes,5,04/02/24, More than 1 year, Sample
45 and Above,"Combination, Medium Light, Neutral","saya orang yang sering banget beraktifitas diluar rumah bahkan diluar ruangan dengan kulit saya yang cenderung kering akhirnya saya menemukan produk sun screen yang cocok untuk kulit saya ini, saat dipakai dikulit tidak terasa lengket jadi nyaman",yes,5,04/02/24, Less than 1 week, Instagram
18 and Under,",18 and Under","bagus banget buat kulit ku yang cenderung berjerawat, ngga ada whitecase, mudah diblend juga, bikin glowing dimuka, harganya terjangkau juga, mudah menyerap produknya, sampai aku rekomendasikan ke orang-orang disekitarku but cobain dan kata mereka cocok",yes,4,04/02/24, Less than 1 week, Tokopedia
19 - 24,"Normal, Medium Light, Neutral",👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍🎶👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,yes,5,04/02/24, More than 1 year, FD Flash Sale
25 - 29,"Normal, Medium, Warm","aku udah pakek produk wardah dari tahun 2018 dan sampe skrang masalah kulit berminyak teratasi dg baik, aku pakek bright foam sama mouzturaziernya dan semoga makin lebih baik lagi produknya dan makin beragam lagi dan dari semua produk aku suka semua",yes,5,04/02/24, More than 1 year, Shopee
25 - 29,"Combination, Dark, Neutral","cocok banget pakai sunscrrenwardahyang ini, dari pertama kali nyoba udah cuocooook. mantap banget, gak pindah pindah deh, suka banget, rekomended. aku rekomendasikan ke temen.......................................................",yes,5,04/02/24, Less than 1 week, Brand website
25 - 29,"Combination, Medium, Neutral","sunscreen murah namun kualitasnya cukup bagus untuk kulit kombinasiku. sudah pakai produk ini lebih dari 1tahun, selalu repurchase. gak berat di wajah, namun tidak terlalu cair/ringan. menurutku ini sedikit ada whitecast tapi masih aman banget.",yes,4,04/02/24, More than 1 year, Shopee
19 - 24,"Dry, Medium, Warm","sunscren wardah sangat cocok ditipe wajah saya tidak lengket, tidak whiteces dan recommended di kantong pelajar. untuk cuaca tropis Indonesia spf 35pa+++ sudah sangat aman untuk melindungi kulit kita di papar sinar UV dan ngga diraguin lagi untuk produk Wardah satu ini.",yes,5,04/02/24, Less than 1 week, Female Daily Studio
18 and Under,"Normal, Medium, Neutral","produk nya bagus, tekstur nya juga enak untuk pemakaian, aromanya harum, harga terjangkau lama pemakaian sekitar 3 bulan dan after pemakaian sangat berpengaruh untuk kulit saya lebih cerah terlindungi sinar matahari dan membuat kulit lembab",yes,5,04/02/24, Less than 1 week, FD Flash Sale
19 - 24,"Oily, Medium Light, Neutral","sangat watery, tapi rada susah nyerep di aku, tapi gapapa karena ga whitecast, dan gabikin kilang minyak, dan gabikin sumuk, overall good dan gamau pindah ke yang lain karena ini udah nyaman bangett. ",yes,5,04/02/24, More than 1 year, Watson
19 - 24,"Dry, Medium, Cool","udah beberapa kali pakai produk ini tapi tone upnya itu bikin ga pd dan juga bikin kulit kering padahal awal awal pakai itu gak bikin kering sama sekali tapi pas udah pakai ke 3 kering dan bikin wajah kusam, gatau karena pengaruh apa. ga rekomendasi si menurutku",No,2,04/02/24, 3 months - 6 months, Traditional market
19 - 24,"Combination, Medium, Neutral",diskonnya banyak cumann antrtinya panjang baagusnya bagusss tapi ruame bgtttt tapi wort it kooo worth it juga keren femalebdailyy semoga bisa ikut lagi next ecentvyaa keren bgttt pokoknya wkw semmoga banyak frebist jg gehehhrhhrh thnkyou fdx,yes,4,04/02/24, Less than 1 week, Female Daily Studio
19 - 24,"Normal, Medium Light, Neutral","Kurang cocok di aku, ninggalin whitecast dan bikin muka berminyak. Harganyanya murah under 50k tapi ya itu gak cocok di kulit aku, maaf ya wardah. Semoga kedepannya bisa update formula biar gak ninggalin whitecast dan gak bikin kulit berminyak",No,3,04/02/24, 1 week - 1 month, Shopee
19 - 24,"Normal, Medium, Neutral","sedikit cerita tentang perjalananku menemukan sunscreen yang cocok dengan kulitku. sejak kelas 10 SMA aku coba berbagaii sunscreen, dari yang harga menengah, sampai harga atas (mahal, menurutku). hasilnya sama, malah bikin bruntusan/dsb. tapi waktu coba wardah di tahun kedua kuliah, aakkkkkk iniii ada efeknyaa di akuu. yeayyy heppiiiii!!",yes,5,04/02/24, 3 months - 6 months, Shopee
19 - 24,"Oily, Medium, Neutral","amazing vangettt nih mahhh keren bagus banget barang nya sumpahh ga boong ini mah gak ngerti lagi dahhhh sampe gk bisaaaa berkata kataa tauuu, seringggg make barang nya sampe sekaranggg dan itu worth it bangett apalagi kalau pass murahhhhh apalagi ada evemt x beautyyy ini di surabaya jadi kantong sayaaaa lebih hemat bangetttt",yes,3,04/02/24, 3 months - 6 months, Whatsapp
19 - 24,"Normal, Medium, Neutral","sunscreen wardah spf 30 ini lumayan bagus,kulitku berjerawat dan kering cocok pakai ini. teksturnya ringan waktu di aplikasikan ke wajah dan ga bikin kusem. menurutku sunscreennya enak dipakai kegiatan sehari hari buat kegiatan luar ruangan",yes,4,04/02/24, 1 month - 3 months, Shopee
19 - 24,"Combination, Medium Light, Neutral","tekstur nya berbentuk krim putih, cocok untuk kulit kering hingga kombinasi, efek setelah pemakaian nya glowing dan buat wajah terlihat lebih sehat, bagus untuk pemula atau pemakaian dalam ruangan karena spf nya 35, semoga sukses terus untuk brand ini",yes,5,04/02/24, More than 1 year, Shopee
25 - 29,"Dry, Light, Cool",sunscreen wardah dengan proteksi paa++ membuat lebih pede keluar disaat panas terik matahari apalagi di surabaya panas banget tapi karna pake sunscreen wardah jadi pd buat jalan jalan keluar. sunscreen ini cocok untuk kulit normal to dry skin,yes,5,04/02/24, 1 week - 1 month, Shopee
19 - 24,",19 - 24","bagus banget barang nya sumpahhhhhh gak ngerti lagi dahhhh sampe gk bisaaaa berkata kataa tauuu, seringggg make barang nya sampe sekaranggg dan itu worth it bangett apalagi kalau pass murahhhhh apalagi ada evemt x beautyyy ini di surabayaaaa jadi kantong sayaaaa bi hemat",yes,5,04/02/24, More than 1 year, Female Daily Studio
19 - 24,"Normal, Medium Light, Neutral",Ihh ini sunscreen ringan yang oke banget di kulit ga kerasa berat sama sekali ga bikin kulit merasa berat trus ga ada whitecastnya jadi gabakalan nambahin warna di makeup yang mau kita pake pokoknya oke bangett lagh aku suka trus ramah juga buat remaja deh harusnya,yes,4,04/02/24, 1 month - 3 months, Official Brand Store
19 - 24,"Combination, Medium Light, Cool","Udah berkali kali pakai sunscreen ini, cocok di aku. Ngelembapin juga, lebih gampang di blend daripada versi lama. Spfnya juga lumayan tinggi buat aku yang semi indoor - indoor. Cuman kalau di aku kena langsung sinar matahari atau keringetan gitu kadang suka kusam",yes,5,03/02/24, Less than 1 week, Traditional market
19 - 24,"Oily, Medium Light, Neutral",tekstur produk ini cair. saat memakainya butuh waktu untuk meratakan ke seluruh muka. saya sudah membeli berulang kali karena teksturnya ringan dan dapat digunakan setiap hari. saya cukup puas dengan produk ini karena harganya yang terjangkau,yes,5,03/02/24, 6 months - 1 year, Indomaret
19 - 24,"Normal, Medium, Cool","harganya terjangkau untuk kantong pelajar, bisa menjaga kulit wajah dari paparan sinar uv, teksturnya ringan dan mudah di blend, tidak menimbulkan white case diwajah, tidak menyebabkan iritasi pada wajah baik kemerahan ataupun beruntusan",yes,5,03/02/24, Less than 1 week, Shopee
19 - 24,"Combination, Medium, Warm","Produk ini produk lokal yg masih aku pakai,meskipun kurang tahan, tapi sangat nyaman dipakai buat jenis kulit apapun. harganya juga murah sekali, untuk pemula dan segala jenis kulit sangat cocok dan aman sekali. produk ini jg mudah ditemukan",yes,5,03/02/24, Less than 1 week, Official Brand Store
19 - 24,"Combination, Light, Cool","texturenya lembut, dengan kandungan spf 35 PA++++ mampu menjaga kulit dari paparan matahari uva n uvb. tidak hanya itu, dengan kandungan vit c di dalamnya,membantu meratakan kulit, mencerahkan kulit, dgn kandungan reformula DNA salmon untuk regenerasi sel kulit di dalam.",yes,5,03/02/24, Less than 1 week, Official Brand Store
19 - 24,"Combination, Medium, Neutral","Cukup worth it buat harga segini untuk produk sunscreen. Yang agak kurang suka karena lengket hasilnya dan bikin makeup cepet geser, jadi kalo pake ini harus ditunggu dulu beberapa menit sblm pake makeup. dan kalo keringetan luntur putih gitu. Suka karena gak begitu ninggalin white effect gitu",yes,4,03/02/24, Less than 1 week, Shopee
19 - 24,"Dry, Medium, Neutral",saya baru sekali mencoba pakai produk ini. cukup rekomended karena cocok di muka saya yang tipe kering dan after taste nya tidak membuat muka kusam. harga yang cukup terjangkau juga membuat saya yakin untuk merekomendasikan produk ini bagi temen temen,yes,4,03/02/24, 1 week - 1 month, Shopee
25 - 29,"Combination, Medium, Neutral","Udah tidak perlu diragukan lagi sih kalo sunscreen nya wardah yang spf 35 ini. Aku dulu juga salah satu beauty promotor wardah surabaya juga jadi udah paten bgt sama peoduk ini . Mana harganya juga murah lagi , bayangin aja dengan harga semurah itu lo",yes,5,03/02/24, Less than 1 week, Shopee
25 - 29,"Combination, Medium, Neutral","sunscreennya ini enak dipakai, nyaman dan ga white case, awal pakai agak ragu, tapi ternyata pas dipakai enak bgt. hasil dari pencarian sunscreen berminggu minggu. setelah bangak rekomendasi dari beberapa teman dan lihat produk review",yes,5,03/02/24, 1 month - 3 months, Shopee
25 - 29,"Combination, Medium, Neutral","untuk pemula , ini bsa jadi pilihan. tekstur watery da bikin white cast, ringan, sayangnya hanya spf 35 yaa . tapi oke kok untuk dibawa bawa aktivitas indoor bisa jadi pilihan harganya jg terjangkau, cobain yuk produknya, bisa jadi slh satu pilihan",yes,3,03/02/24, 1 month - 3 months, Shopee
19 - 24,"Oily, Medium Light, Neutral",pake ss ini enak banget meskipun agak whitecast dikit. tapi buqt wajah aku ngga bikin yang keliatan putih banget. apalagi sekarang udh upgrade ada serum nya dan juga spf 35. ini harganya juga murah dikalangan mahasiswa. aku juga nyranin temenku pake ini,yes,5,03/02/24, Less than 1 week, Instagram
